gretl	/software /art/film
ballpark	/location /written_work
nordschleife	/location
suu	/location /organization /organization/educational_institution /organization/company
mll	/organization /biology /organization/company
liff	/location/city /location /event
spaulding	/location/city /organization /person/artist /organization/company /location
astrobiology	/written_work
anau	/location/city /location
basti	/art/film /location /medicine/medical_treatment /location/city /person/athlete /person
opua	/location/city /location
frontera	/art/film /person/artist /written_work
italians	/living_thing /art/film
krugman	/person
polyphase	/person/musician /person/artist
bolangir	/location
manioc	/living_thing /food
kumagaya	/location/city /location
ditto	/art/film /organization /music /organization/company
puyi	/person/author /person
kirchhundem	/location/city /location
ulises	/game /art/film /person/artist /person
nopal	/location/city /location /food
sebes	/location/city /location
function	/person/artist /person /person/musician /organization /organization/company
jaffer	/person/actor /person
scythian	/person/musician /person/artist
heiresses	/art/film
pauley	/location/city /location
ketan	/person/director /person
persinger	/location/city /location
fullarton	/location/city /location /person/author /person
baroness	/game /person/musician /person/artist /person
pius	/person/artist /person/author /person
philolaus	/person
agustin	/person/director /person/artist /person
bhagadatta	/person
ramapuram	/location/city /location
stranglers	/person/musician /person/artist
hachinohe	/location/city /location
churchville	/location/city /location
filesharing	/product
orkdal	/location/city /location
cbs	/person/artist /broadcast_network /organization /organization/company
fitzrovia	/location
linoleum	/computer/programming_language /art/film /person/artist /product /organization /person/musician /organization/company
record	/art/film /product /organization /written_work /organization/company
buceros	/living_thing
packaging	/written_work
whirlaway	/person/artist
birchmount	/organization /organization/company
cheboksary	/location/city /location
speechwriter	/title
ashes	/music /person/artist /person/musician /play /written_work /art/film /art /product /person
entrepreneurs	/art/film /person/artist /person
tvi	/organization /organization/company
pl	/person/actor /person/artist /person/director /person/musician /game /organization/company /organization /person/author /person
lohn	/location/city /location
stelletta	/living_thing
motobu	/location/city /location
rogerson	/location/city /location /person
w	/software /person/actor /person/artist /biology /person /product /person/musician /written_work /art/film /location /location/city /person/author
archenemy	/person/musician /person/artist
pinpoint	/person/musician /person/artist
rufa	/living_thing /broadcast_program
beirut	/location /person/artist /location/city /person/musician /written_work
grammarian	/title
mahal	/art/film /organization /person/artist
ub	/location /person/artist /organization/educational_institution /organization /location/body_of_water
anjaneya	/art/film
celina	/living_thing /location /person/artist /location/city /person
dole	/location/city /location /product /person
gallus	/location /product
filo	/person/artist /person/athlete /food /person
routledge	/organization /person /organization/company
galon	/person
betzdorf	/location/city /location
macrae	/person
tick	/living_thing /product
roadsides	/written_work
brian	/software /person/actor /person/artist /person/musician /art /location /location/city /person/author /person
crates	/location/city /location /person/author /person
lanzhou	/location/city /location
nem	/person/musician /person/artist /food
dkw	/organization/company
wsc	/organization
trappings	/written_work
sorata	/location/city /location
atle	/product/ship
sarron	/location
coronis	/written_work
stimpson	/person
eugenio	/art/film /person/athlete /music /person
sisco	/location/city /location
gurudev	/art/film /person/artist /person/author /person/director /person/musician /person
sth	/game
surimi	/product /food
umpqua	/location/city /location
lund	/location/city /organization /organization/company /people/ethnicity /location
toasty	/person/artist /person
dupre	/location/city /location
maricel	/person/actor /person/artist /person
embargoed	/organization
furby	/person
karachi	/location/city /location
watcom	/person/engineer /organization /organization/company
induce	/person/artist
windley	/location
jasper	/software /person/actor /person/artist /person/musician /written_work /art/film /location /product /location/city /person
dampierre	/location/city /location
hession	/person
codium	/living_thing
ji	/music /art/film /person/actor /written_work /person
kohler	/location/city /location /written_work /person
feuer	/art/film /product /written_work
garm	/location /person/artist /person/author /location/city /person/musician /person
castor	/software /product/ship /geography/mountain /person/musician /game /location /astral_body /person/artist /location/city /person/author /person
carrizal	/location
papiers	/written_work
signe	/person/actor /person
kemper	/art/film /location /person/artist /location/city
tinea	/living_thing /disease
pear	/living_thing /location /person/artist /food /person
